fixtureid,timestamp,trackingid,objecttype,uniformnumber,playerid,teamid,x,y,z,monthid,statdata,period,timeelapsed,speed,changeinspeed
2179369,1.58E+12,1,1,4,472848,9864,43.09,33.009,0,12,N,1,0,,
2179369,1.58E+12,1,1,4,472848,9864,43.093,33.009,0,12,N,1,0.1,,
2179369,1.58E+12,1,1,4,472848,9864,43.109,33.012,0,12,N,1,0.2,,
2179369,1.58E+12,1,1,4,472848,9864,43.137,33.017,0,12,N,1,0.3,0.324566476,
2179369,1.58E+12,1,1,4,472848,9864,43.177,33.023,0,12,N,1,0.4,0.423608271,
2179369,1.58E+12,1,1,4,472848,9864,43.226,33.03,0,12,N,1,0.5,0.507588828,0.765178912
2179369,1.58E+12,1,1,4,472848,9864,43.283,33.034,0,12,N,1,0.6,0.575924347,0.632667654
2179369,1.58E+12,1,1,4,472848,9864,43.345,33.036,0,12,N,1,0.7,0.630638114,0.534767557
2179369,1.58E+12,1,1,4,472848,9864,43.412,33.031,0,12,N,1,0.8,0.676675242,0.494569097
2179369,1.58E+12,1,1,4,472848,9864,43.48,33.019,0,12,N,1,0.9,0.721495901,0.527172393
2179369,1.58E+12,1,1,4,472848,9864,43.549,32.996,0,12,Y,1,1,0.773752033,0.635033936
2179369,1.58E+12,1,1,4,472848,9864,43.617,32.959,0,12,N,1,1.1,0.841506995,0.806425039
2179369,1.58E+12,1,1,4,472848,9864,43.683,32.907,0,12,N,1,1.2,0.930688877,1.017791496
2179369,1.58E+12,1,1,4,472848,9864,43.747,32.838,0,12,N,1,1.3,1.044065801,1.239434468
2179369,1.58E+12,1,1,4,472848,9864,43.808,32.75,0,12,N,1,1.4,1.180868728,1.442851865
2179369,1.58E+12,1,1,4,472848,9864,43.869,32.642,0,12,N,1,1.5,1.3372809,1.607639114
2179369,1.58E+12,1,1,4,472848,9864,43.929,32.515,0,12,N,1,1.6,1.507829416,1.725655545
2179369,1.58E+12,1,1,4,472848,9864,43.992,32.369,0,12,N,1,1.7,1.687121601,1.801223682
2179369,1.58E+12,1,1,4,472848,9864,44.058,32.204,0,12,N,1,1.8,1.871130699,1.847616943
2179369,1.58E+12,1,1,4,472848,9864,44.129,32.021,0,12,N,1,1.9,2.057770545,1.881700858
2179369,1.58E+12,1,1,4,472848,9864,44.208,31.821,0,12,Y,1,2,2.24687637,1.919226665
2179369,1.58E+12,1,1,4,472848,9864,44.296,31.605,0,12,N,1,2.1,2.439801675,1.971616183
2179369,1.58E+12,1,1,4,472848,9864,44.395,31.372,0,12,N,1,2.2,2.638821548,2.044324856
